,trackid,artistname,title,lyrics
16,TREMDNV12903CAC420,Black Eyed Peas,I Gotta Feeling,"I gotta feeling That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  Tonight's the night Let's live it up I got my money Let's spend it up  Go out and smash it Like Oh My God Jump off that sofa Let's get get off  I know that we'll have a ball If we get down And go out And just loose it all  I feel stressed out I wanna let it go Lets go way out spaced out And loosing all control  Fill up my cup Mozoltov Look at her dancing Just take it off  Let's paint the town We'll shut it down Let's burn the roof And then we'll do it again  Let's do it, let's do it, Let's do it, Let's do it, and do it, and do it, Let's live it up And do it, and do it, and do it, do it, do it, Let's do it, Let's do it, Let's do it Cause  I gotta feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  Tonight's the night (Hey!) Let's live it up (Let's live it up) I got my money (I'm paid) Let's spend it up (Let's spend it up)  Go out and smash it (Smash it) Like Oh My God (Like Oh My God) Jump off that sofa (C'mon) Let's get get off  Fill up my cup (Drank) Mozoltov (La' Chaim) Look at her dancing (Move it Move it) Just take it off  Let's paint the town (paint the town) We'll shut it down (Shut it down) Let's burn the roof And then we'll do it again  Let's do it, let's do it, Let's do it, Let's do it, and do it, and do it, Let's live it up And do it, and do it, and do it, do it, do it, Let's do it, Let's do it, Let's do it, do it, do it, do it  Here we come Here we go We gotta rock (rock, rock, rock, rock)  Easy come Easy go Now we on top (top, top, top, top)  Feel the shot Body rock Rock it don't stop (stop, stop, stop, stop)  Round and round Up and down Around the clock (clock, clock, clock, clock)  Monday, Tuesday, Wednesday, and Thursday Friday, Saturday Saturday to Sunday  Get get get get get with us You know what we say Party every day Pa-pa-p-party every day  And a feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling (oh, oh) That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  Oh, oh"
17,TREBDEB12903CC0C56,California Swag District,Teach Me How To Dougie,"They be like smooth(what?) Can you teach me how to dougie? You know why? Cause all da bitches love me(aye) All I need is a beat that's super bumpin And for you, you, and you to back it up and dump it! Put your arms out front, lean side to side They gona be on you when they see you hit dat dougie right? Aint nobody fuckin wit my bro from morningside He go by bubba and he hit dat dance wit thunder I aint from dallas but I d-town boogie I show my moves off and everybody tryna do me I leave da function and all da ladies tryna screw me You just do you and ima do me(all day) Niggas love to hate so they try to screw me Bitches be stuck to me I think they tryna glue me I make the party shine bright when it start to boomin Dis beat was bubblegum so I had to chew it  [Chorus] Teach me how to dougie T-teach me how to dougie Teach me how to dougie T-teach me how to dougie All my bitches love me All my, all my bitches love me All my bitches love me You aint fuckin wit my dougie! x2  [Verse 2] My name is young! For da dudes who don't know me I know I'm from da west but I can teach you how to dougie! Step up in da club and all these bitches bug me All da niggas dancin and none of them know me I hear da crowd screamin like ""aye! get it brody!"" So I'm on my and I take it real low Dey like ""how you da dat?"" he can dougie on the floor And when dat nigga stop they like ""dougie somemore!"" I'm like a nigga kinda tired so, I pass it to da bro! M-bone! show these cats how to do dat down south dance Dat we learned a lil too fast and bought it to da hood And got da whole crew askin...  [Chorus] x2  [Verse 3] Back of the party ion really like to boogie I'm just tryna get bent and meet a thick redbone (Mmm) we do da dougie and da niggas hatin but I'm bout To exscape with a bitch and head home(fuck it) She got her friends so its a 2 man-a And I wana run it even if her legs long She like you my hubby, I think she love me but, I change da subject and I do my dougie But, i dont give a fuck, blow trees, get money Leave 2 heifers feinin like sum playboy bunnies Dey gon make us do da dougie in da middle of da bed And when I asked for some head da bitch looked at me funny Daahhhhhh! bitch you can't tell me nothin starr baked da beat And I just took it out the oven, I just hit the dougie when everybody Clubbin and I hate skinny jeans cuz da burner keep rubbin! (oh! )"
18,TRENTGL128E0780C8E,Coldplay,Clocks,"The lights go out and I can't be saved Tides that I tried to swim against You've put me down upon my knees Oh, I beg, I beg and plead, singing  Come out of things unsaid Shoot an apple off my head, and a Trouble that can't be named A tiger's waiting to be tamed, singing  You are You are  Confusion never stops Closing walls and ticking clocks, gonna Come back and take you home I could not stop that you now know, singing  Come out upon my seas Curse missed opportunities, am I A part of the cure Or am I part of the disease? singing  You are You are You are You are  You are You are  And nothing else compares Oh, nothing else compares And nothing else compares  You are You are  Home, home, where I wanted to go Home, home, where I wanted to go Home, home, where I wanted to go Home, home, where I wanted to go"
19,TRJPXVB128F9316916,Taylor Swift,You Belong With Me,"You're on the phone with your girlfriend—she's upset She's going off about something that you said 'Cause she doesn't get your humor like I do.  I'm in the room, it's a typical Tuesday night. I'm listening to the kind of music she doesn't like. And she'll never know your story like I do  But she wears short skirts I wear t-shirt She's cheer captain And I'm on the bleachers  Dreaming about the day when you wake up and find That what you're looking for has been here the whole time.  If you could see That I'm the one Who understands you Been here all along So, why can't you see You belong with me You belong with me?  Walk in the streets with you in your worn out jeans I can't help thinking this is how it ought to be. Laughing on a park bench thinking to myself ""Hey, isn't this easy?""  And you've got a smile That can light up this whole town I haven't seen it in awhile Since she brought you down.  You say you're fine—I know you better than that Hey, what you doing with a girl like that?  She wears high heels I wear sneakers She's cheer captain And I'm on the bleachers  Dreaming about the day when you wake up and find That what you're looking for has been here the whole time  If you could see That I'm the one Who understands you Been here all along So, why can't you see You belong with me?  Standing by and waiting at your backdoor. All this time how could you not know, baby? You belong with me You belong with me  Oh, I remember you driving to my house In the middle of the night I'm the one who makes you laugh When you know you're 'bout to cry  I know your favorite songs And you tell me about your dreams Think I know where you belong Think I know it's with me  Can't you se that I'm the one Who understands you? Been here all along So, why can't you see You belong with me?  Standing by and waiting at your backdoor. All this time how could you not know, baby? You belong with me You belong with me You belong with me Have you ever thought just maybe You belong with me? You belong with me"
20,TRSUSWW128F93463BF,Black Eyed Peas,Imma Be,"Imma be, Imma be, Imma Imma Imma be Imma be, Imma be, Imma Imma Imma be Imma be, Imma be, Imma Imma Imma be Imma be be be be Imma Imma be Imma be be be be Imma Imma be Imma be be be be Imma Imma be  Imma be on the next level Imma be rockin' over that bass treble Imma be chillin' with my mutha mutha crew Imma be makin' all them deals you wanna do (hah) Imma be up in them A-list flicks Doin' one-handed flips, and Imma be sippin'on trick 'cause Imma be shakin' my hips You gon' be lickin' your lips Imma be takin' them pics Lookin' all fly and shit Imma be the flyest chick (so fly) Imma be spreadin' my wings Imma be doin' my thing (do it, do it) Okay!  Imma Imma swing it this-a way,  (Imma Imma) Imma Imma swing it that-a way It's Fergie-Ferg and Imma (Imma) be here to stay The 21st-century 'til infinity  Imma be, Imma be, Imma Imma Imma be Imma be, Imma be, Imma Imma Imma be  Rich, baby, quick, quick Imma Imma Imma be The shit, baby, check me out Be Imma Imma be On top, never stop Be be Imma Imma be,  Imma be be be be Imma Imma be Imma be F'ckin' her Imma Imma Imma be Imma be be be be Imma Imma be  Imma be the upgraded new Negro Imma be the average brother with soul Imma be world-wide international Imma be in Rio, rockin' Tokyo Imma be brilliant with my millions Loan out a billion, And get back a trillion Imma be a brother, but my name ain't Lehman Imma be your bank, I be loanin' out semen Honeys in debt, may be bouncin' them checks but, I don't really mind when they bouncin' them che(s)ts Imma be, Imma be I'm-Imma I'm-Imma be rich, baby Imma be, I'm only I'm-Imma be Sick with the flow When the goal is to rock the whole globe Imma be the future Imma be the whole... reason why you'd even wanna come to a show You can see me while I'm rockin' And I'm kickin' out a Golden  Imma be up in the club Doin' whatever I like Imma be poppin' that bubbly Coolin' and livin' that good life Oh, let's make this last forever Partyin', we'll chill together  On and on and on and on and On and on and on and on and  Imma be rockin' like this (What?) Y'all niggas want talk shit (But) Why don'tchu put it on the blog, nigger Rockin' like this my job, nigger We can't help that we popular And all these folks want to flock to us Come to a show and just rock with us A million plus with binoculars  Imma be, Imma be, Imma be, Imma be Imma be livin' that good life Imma be livin' that good good Imma be, Imma be, Imma be, Imma be Imma be livin' that good life Imma be livin' that good good Imma be, Imma be, Imma be, Imma be Imma be livin' that good life Imma be livin' that good good Imma be, Imma be, Imma be, Imma be Imma be livin' that good life Imma be livin' that good good Imma be... (swag... crazy) Imma be... (loca)  Imma be, Imma be, Imma be, Imma be (lo... loca)  Imma, Imma, Imma be, rockin' that apl.de be infinite B.E.P. we definite-ly On some next-level shit Futuristic, musically Powerful with energy From the soul we sonically Sending positivity Across the globe and seven seas Take care of our families Rockin' shows, 'spectin' cheese Imma be out with my Peas Livin' life, feelin' free That's how it's supposed to be Come join my festivities Celebrate like Imma be  Imma be, Imma be, Imma be, Imma be Imma be, Imma be, Imma be, Imma be Imma be, Imma be, Imma be, Imma be"
21,TRSDRPY128F933E202,Taylor Swift,Love Story,"We were both young when I first saw you I close my eyes & the flashback starts I'm standing there on a balcony in summer air  See the lights, see the party, the ball gowns See you make your way through the crowd And say ""Hello"", little did I know...  That you were Romeo, you were throwing pebbles And my daddy said, ""Stay away from Juliet"" And I was crying on the staircase Begging you ""Please don't go"", & I said...  Romeo, take me somewhere we can be alone I'll be waiting; all that's left to do is run You'll be the prince & I'll be the princess It's a love story baby, just say ""Yes""  So I sneak out to the garden to see you We keep quiet 'cause we're dead if they knew So close your eyes, escape this town for a little while  'Cause you were Romeo, I was a scarlet letter And my daddy said ""Stay away from Juliet"" But you were everything to me I was begging you ""Please don't go"", & I said...  Romeo, take me somewhere we can be alone I'll be waiting; all that's left to do is run You'll be the prince & I'll be the princess It's a love story baby, just say ""Yes""  Romeo save me, they're trying to tell me how to feel This love is difficult but it's real Don't be afraid, we'll make it out of this mess It's a love story baby, just say ""Yes"" ... I got tired of waiting Wondering if you were ever coming around My faith in you was fading When I met you on the outskirts of town And I said...  Romeo, save me, I've been feeling so alone I keep waiting for you but you never come Is this in my head? I don't know what to think He knelt to the ground & pulled out a ring & said  Marry me, Juliet, you'll never have to be alone I love you & that's all I really know I talked to your dad, go pick out a white dress It's a love story baby, just say ""Yes""  Oh oh oh  'Cause we were both young when I first saw you"
22,TROMKCG128F9320C09,Muse,Uprising,"Paranoia is in bloom The PR transmissions will resume They'll try to push drugs that keep us all dumbed down And hope that we will never see the truth around So come on!  Another promise, another seed Another packaged lie to keep us trapped in greed And all the green belts wrapped around our minds And endless red tape to keep the truth confined So come on!  They will not force us They will stop degrading us They will not control us We will be victorious So come on!  Interchanging mind control Come, let the revolution take its toll If you could flick the switch and open your third eye You'd see that we should never be afraid to die So come on!  Rise up and take the power back It's time the fat cats had a heart attack You know that their time's coming to an end We have to unify and watch our flag ascend So come on!  They will not force us They will stop degrading us They will not control us We will be victorious So come on!  They will not force us They will stop degrading us They will not control us We will be victorious So come on!"
23,TROAQBZ128F9326213,OneRepublic,Secrets,"I need another story Something to get off my chest My life gets kinda boring Need something that I can confess  Till all my sleeves are stained red From all the truth that I've said Come by, it honestly I swear Thought you saw me wink, no, I've been on the brink, so  Tell me what you want to hear Something that will light those ears Sick of all the insincere So I'm gonna give all my secrets away This time Don't need another perfect lie Don't care if critics ever jumped in line I'm gonna give all my secrets away  My God, amazing how we got this far It's like we were chasing all those stars Who's driving shiny big black cars And everyday I see the news All the problems that we could solve And when a situation rises Just write it into an album Send it straight to gold But I don't really like my flow, no, so  Tell me what you want to hear Something that are like those years Sick of all the insincere So I'm gonna give all my secrets away This time, don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away  Got no reason Got no shame Got no family I can blame Just don't let me disappear I'mma tell you everything  Tell me what you want to hear Something that'll light those ears Sick of all the insincere So I'm gonna give all my secrets away This time Don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away  Tell me what you want to hear Something that delight those years Sick of all the insincere So I'm gonna give all my secrets away This time Don't need another perfect lie Don't care if critics ever jump in line I'm gonna give all my secrets away All my secrets away"
24,TRONBHE128F92D6309,Katy Perry,I Kissed A Girl,"This was never the way I planned, not my intention I got so brave, drink in hand, lost my discretion It's not what I'm used to, just wanna try you on I'm curious for you, caught my attention  I kissed a girl and I liked it The taste of her cherry chap stick I kissed a girl just to try it I hope my boyfriend don't mind it  It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it, I liked it  No, I don't even know your name, it doesn't matter You're my experimental game, just human nature It's not what good girls do, not how they should behave My head gets so confused, hard to obey  I kissed a girl and I liked it The taste of her cherry chap stick I kissed a girl just to try it I hope my boyfriend don't mind it  It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it, I liked it  Us girls we are so magical Soft skin, red lips, so kissable Hard to resist, so touchable Too good to deny it  Ain't no big deal, it's innocent  I kissed a girl and I liked it The taste of her cherry chap stick I kissed a girl just to try it I hope my boyfriend don't mind it  It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it, I liked it"
25,TRONYHY128F92C9D11,Kings Of Leon,Revelry,"What a night for a dance, you know I'm a dancing machine With a fire in my bones and the sweet taste of kerosene I get lost in the light, so high I don't want to come down To face the loss of the good thing that I had found  Woo hoo hoo Woo hoo hoo  In the dark of the night, I can hear you calling my name With the harvest of hearts I still feel full of pain So I drink and I smoke, and I ask you if you're ever around Even though it was me who drove us right in the ground  See, the time we shared, it was precious to me But all the while, I was dreaming of revelry  Born to run, baby, run like a stream down a mountainside With the wind at my back, I don't ever even bat an eye Just know it was you all along who had a hold of my heart But the demon and me were the best of friends from the start  So the time we shared it was precious to me All the while I was dreaming of revelry Dreaming of revelry  And I told myself, ""Boy, away you go"" It rained so hard it felt like snow Everything came tumbling down on me In the back of the woods, in the dark of the night The paleness of the old moonlight Everything just felt so incomplete Dreaming of revelry Dreaming of revelry Dreaming of revelry Dreaming of revelry"
26,TRXWAZC128F9314B3E,John Mayer,Heartbreak Warfare,"Lightning strikes Inside, my chest to keep me up at night Dream of ways  To make you understand my pain Clouds of sulfur in the air  Bombs are falling everywhere It's heartbreak warfare Once you want it to begin  No one really ever wins In heartbreak warfare  If you want more love why don't you say so? If you want more love  why don't you say so? Drop his name  Push it in and twist the knife again Watch my face  As I pretend to feel no pain Clouds of sulfur in the air  Bombs are falling everywhere It's heartbreak warfare Once you want it to begin  No one really ever wins  In heartbreak warfare. If you want more love why don't you say so?  If you want more love why don't you say so?  Just say so... How come the only way to know how high you get me is to see how far I fall God only knows how much I'd love you if you let me but I can't break through at all. It's a heartbreak... I don't care if we don't sleep at all tonight Let's just fix this whole thing now I swear to God we're gonna get it right If you lay your weapon down Red wine and ambien You're talking st again, it's heartbreak warfare Good to know it's all a game Disappointment has a name, it's heartbreak, heartbreak. It's heartbreak warfare It's heartbreak warfare It's heartbreak warfare"
27,TRKRRUV128F92F20F1,Train,Marry Me,"Forever can never be long enough for me To feel like I've had long enough with you Forget the world now, we won't let them see But there's one thing left to do  Now that the weight has lifted Love has surely shifted my way  Marry me Today and every day Marry me If I ever get the nerve to say ""Hello"" in this cafe Say you will Mm-hmm Say you will Mm-hmm  Together can never be close enough for me To feel like I am close enough to you You wear white and I'll wear out the words ""I love you"" And you're beautiful  Now that the wait is over And love has finally shown her my way  Marry me Today and every day Marry me If I ever get the nerve to say ""Hello"" in this cafe Say you will Mm-hmm Say you will Mm-hmm  Promise me You'll always be Happy by my side I promise to Sing to you When all the music dies  And marry me Today and everyday Marry me If I ever get the nerve to say ""Hello"" in this cafe Say you will Mm-hmm Say you will Mm-hmm  Marry me Mm-hmm"
28,TRKBJPL12903CED195,OneRepublic,All The Right Moves,"All the right friends in all the right places,  So yeah, we're goin' down They got all the right moves in all the right faces,  So yeah, we're goin' down  Let's paint the picture of the perfect place They got it better than what anyone's told you  They'll be the King of Hearts, and you're the Queen of Spades  Then we'll fight for you like we were your soldiers  I know we got it good, but they got it made  And their grass is getting greener each day  I know things are looking up, but soon they'll take us down  Before anybody's knowin' our name They got all the right friends in all the right places,  So yeah, we're goin' down  They got all the right moves in all the right faces,  So yeah, we're goin' down They say everybody knows, everybody knows where we're goin', Yeah, we're goin' down  They say everybody knows, everybody knows where we're goin', Yeah, we're goin' down  Do you think I'm special?  Do you think I'm nice, am I bright enough to shine in your spaces?  Between the noise you hear, and the sound you like  Are we just sinking in an ocean of faces? It can't be possible that rain could fall Only when it's over our heads The sun is shining everyday, but it's far away Over their world instead, they got, They got all the right friends in all the right places, So yeah, we're goin' down They got all the right moves in all the right faces, So yeah, we're goin' down They say everybody knows, everybody knows where we're goin', Yeah, we're goin' down They say everybody knows, everybody knows where we're goin', Yeah, we're goin' down (going down, going down, going down, going down) It don't matter what you see, I know I could never be Someone that'll look like you It don't matter what you say, I know I could never face Someone that could sound like you All the right friends in all the right places, So yeah, we're goin' down They got all the right moves in all the right faces, So yeah, we're goin' down All the right friends in all the right places, So yeah, we're goin' down They got all the right moves in all the right faces, So yeah, we're goin' down They say everybody knows, everybody knows where we're goin', Yeah, we're goin' down They say everybody knows, everybody knows where we're goin', Yeah, we're goin' down (going down, going down, going down) Yeah we're going down Yeah we're going down All the right moves, hey Yeah we're going down They say all the right moves, hey Yeah we're going down"
29,TRYNJBB128F931A7EE,Eminem,Mockingbird,"Yeah I know sometimes things may not always make sense to you right now But hey, what daddy always tell you? Straighten up little soldier Stiffen up that upper lip What you crying about? You got me  Hailie, I know you miss your mom And I know you miss your dad when I'm gone But I'm trying to give you the life that I never had I can see you're sad Even when you smile Even when you laugh I can see it in your eyes Deep inside, you wanna cry 'Cause you're scared I ain't there? Daddy's with you in your prayers No more crying Wipe them tears Daddy's here No more nightmares We gonna pull together through it We gon' do it Laney, uncle's crazy ain't he? Yeah but he loves you girl and you better know it We're all we got in this world When it spins When it swirls When it whirls When it twirls Two little beautiful girls Looking puzzled, in a daze I know it's confusing you Daddy's always on the move Mama's always on the news I try to keep you sheltered from it But somehow it seems, the harder that I try to do that The more it backfires on me All the things, growing up As daddy that he had to see Daddy don't want you to see But you see just as much as he did We did not plan it to be this way Your mother and me But things have got so bad between us I don't see us ever being together ever again Like we used to be when was teenagers But then of course Everything always happens for a reason I guess it was never meant to be But it's just something We have no control over And that's what destiny is But no more worries Rest your head and go to sleep Maybe one day we'll wake up And this will all just be a dream  Now hush little baby don't you cry Everythings gonna be alright Stiffen that upper lip up little lady I told ya, daddy's here to hold ya Through the night I know mommy's not here right now and we don't know why We feel how we feel inside It may seem a little crazy, pretty baby But I promise, Mama's gonna be alright  It's funny I remember back one year when daddy had no money Mommy wrapped the Christamas presents up And stuck them under the tree And said some of them were from me 'Cause daddy couldn't buy 'em I'll never forget that Christmas I sat up the whole night cryin' 'Cause daddy felt like a bum See daddy had a job But his job was to keep the food on the table for you and mom  And at the time, every house that we lived in Either kept getting broken into and robbed or shot up on the block And your mom, was saving money For you in a jar trying to start a piggy bank for you So you can go to college Almost had a thousand dollars 'Till someone broke in and stole it And I know it hurt so bad, it broke your mama's heart And it seemed like everything was just starting to fall apart Mom and dad was arguing a lot So mama moved back on the Chalmers in the flat One bedroom apartment And dad moved back to the other side of 8 mile on Novarra And that's when daddy went to California with his CD And met Dr. Dre and flew you and Mama out to see me But daddy had to work You and mama had to leave me Then you started seeing daddy on the TV And mama didn't like it And you and Laney were too young to understand it Papa was a rolling stone Mama developed a habit And it all happened too fast for either one of us to grab it I'm just sorry you were there and had to witness it first hand 'Cause all I ever wanted to do was just make you proud Now I'm sittin' in this empty house, just reminiscin' Looking at your baby pictures it just trips me out To see how much you both have grown It's almost like your sisters now Wow, I guess you pretty much are And daddy's still here Laney I'm talking to you too Daddy's still here I like the sound of that, yeah It's got a ring to it, don't it? Shhh, mama's only gone for the moment  Now hush little baby don't you cry Everythings gonna be alright Stiffen that upper lip up little lady I told ya daddy's here to hold ya Through the night I know mommy's not here right now and we don't know why We feel how we feel inside It may seem a little crazy pretty baby But I promise Mama's gonna be alright And if you ask me to Daddy's gonna buy you a mockingbird I'mma give you the world I'mma buy a diamond ring for you I'mma sing for you, I'll do anything for you to see you smile And if that mockingbird don't sing and that ring don't shine I'mma break that birdy's neck I'll go back to the jewler who sold it to ya And make him eat every karat Don't fuck with dad, haha"
30,TRYVBMA128E0789D39,Coldplay,Fix You,When you try your best but you don't succeed When you get what you want but not what you need When you feel so tired but you can't sleep Stuck in reverse When the tears come streaming down your face When you lose something you can't replace When you love someone but it goes to waste Could it be worse?  Lights will guide you home And ignite your bones And I will try to fix you  High up above or down below When you're too in love to let it go But if you never try you'll never know Just what you're worth  Lights will guide you home And ignite your bones I will try to fix you  Tears stream down your face When you lose something you cannot replace Tears stream down your face and I Tears stream down your face I promise you I will learn from my mistakes Tears stream down your face and I  Lights will guide you home And ignite your bones And I will try to fix you
