,trackid,text,title
0,TRHTCXG12903CC2F60,doors kryptonite take walk around world ease trouble mind leave body lie somewhere sand time watch world float dark side moon feel nothing yeah watch world float dark side moon know something really n't mind happen long 'll friend end crazy still call superman alive well a-holding hand 'll keep side superhuman might kryptonite call strong call weak still secrets keep take grant time never let stumble bump head dead pick put back solid grind crazy still call superman alive well a-holding hand 'll keep side superhuman might kryptonite crazy still call superman alive well hold hand 'll keep side superhuman might kryptonite yeah crazy still call superman alive well a-holding hand 'll keep side superhuman might kryptonite whoa whoa whoa whoa whoa whoa,Kryptonite
1,TRRHGFY12903CD2DC8,justin bieber somebody love write symphony tell violin time sink swim watch play run thousand miles get step beat heart n't need whole lot admit rather give world share mine know n't first one give attention baby listen need somebody love n't need much somebody love somebody love n't need anything else promise girl swear need somebody love need somebody need somebody need somebody need somebody every day bring sun around sweep away cloud smile would take every second every single time spend like last dime step beat hear n't need whole lot admit rather give world share mine know n't first one givin attention baby listen need somebody love n't need much somebody love somebody love n't need nothing else promise girl swear need somebody love need somebody need somebody need somebody need somebody love anything want bring give finer things yeah really want n't find cause money n't find somebody love find somebody love need somebody love n't need much somebody love somebody love n't need nothing else promise girl swear need somebody love need somebody need somebody need somebody need somebody somebody love need somebody need somebody need somebody need somebody need somebody need somebody need somebody need somebody need somebody love love love need somebody love,Somebody To Love
2,TRRUVLO128F92DE6F7,roux bulletproof mess around fun n't put 'll never let sweep feet n't let message try send information burn bridge shore shore break away something turn love cheap mess around fun n't put 'll never let sweep feet time baby 'll bulletproof time baby 'll bulletproof n't let turn around tell much proud walk away something dead dirty word come play hurt certain things leave unsay tick tick tick tick watch life short stop baby time run n't let turn around tell much proud fill doubt time baby 'll bulletproof time baby 'll bulletproof time baby 'll bulletproof time baby 'll bulletproof time 'll bulletproof time 'll bulletproof time baby 'll bulletproof time baby 'll bulletproof time baby 'll bulletproof time baby 'll bulletproof,Bulletproof
3,TRBZGSM128E078EDB4,eminem without obie trice real name gimmicks two trailer park girls round outside round outside round outside two trailer park girls round outside round outside round outside guess back back shady back tell friend guess back guess back guess back guess back guess back guess back guess back 've create monster 'cause nobody want see marshall want shady chop liver well want shady 'll give little bite weed mix hard liquor vodka 'll jump start heart quicker shock get shock hospital doctor co-operating rockin table operate wait long stop debate 'cause back rag ovulate know get job ms. cheney husband heart problem complicate fcc n't let let let see try shut mtv feel empty without come dip bum lips fuck cum lips tits get ready 'cause shit get heavy settle lawsuits fuck debbie look like job everybody follow 'cause need little controversy 'cause feel empty without say look like job everybody follow 'cause need little controversy 'cause feel empty without little hellions kid feelin rebellious embarrass parent still listen elvis start feelin like prisoners helpless 'til someone come along mission yell bitch visionary vision scary could start revolution pollutin airwaves rebel let revel bask fact get everyone kissin ass disaster catastrophe see damn much ass ask well back na-na-na-na-na-na-na-na-na-na fix bend antenna tune gon enter endin skin like splinter center attention back winter interest best thing since wrestle infest kid ears nest test attention please feel tension soon someone mention ten cents two cents free nuisance send send look like job everybody follow 'cause need little controversy 'cause feel empty without say look like job everybody follow 'cause need little controversy 'cause feel empty without a-tisket a-tasket tit tat anybody talkin shit shit chris kirk patrick get ass kick worse little limp bizkit bastards moby get stomp obie thirty-six year old baldheaded fag blow n't know 're old let nobody listen techno let gim signal 'll whole list full new insult dope suspenseful pencil ever since prince turn symbol sometimes shit seem everybody want discuss must mean disgust obscene first king controversy worst thing since elvis presley black music selfishly use get wealthy concept work twenty million white rappers emerge matter many fish sea 'll empty without look like job everybody follow 'cause need little controversy 'cause feel empty without say look like job everybody follow 'cause need little controversy 'cause feel empty without kid,Without Me
4,TRQFXKD128E0780CAE,coldplay scientist come meet tell sorry n't know lovely find tell need tell set apart tell secrets ask question let back start run circle come tail head science apart nobody say easy shame part nobody say easy one ever say would hard take back start guess number figure pull puzzle apart question science science progress speak loud heart tell love come back haunt rush start run circle chase tail come back nobody say easy shame part nobody say easy one ever say would hard back start ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh,The Scientist
5,TRZJNDO128EF343498,angels airwaves gift strangest excitement today 're awake 're welcome hear 've get gift blow way far eastern sea straight god feel like like rush straight brain voice lonely loud whisper joy pain suddenly 've time 'll stop storm rain 'll light path far 'll make fear melt away world know disappear ask say night get cheek smile leave arm confuse god feel like kiss one roughly vague swear 'll melt touch 'll ask suddenly 've time 'll stop storm rain 'll light path far 'll make fear melt away world know disappear 'll stop storm rain 'll light path far 'll make fear melt away world know disappear yo-oh yo-oh yo-oh yo-oh 'll stop storm rain 'll light path far 'll make fear melt away world know disappear 'll stop storm rain 'll light path far 'll make fear melt away world know disappear make world know disappear make world know disappear yo-oh yo-oh yo-oh yo-oh,The Gift
6,TRIEXMF128F92FDD60,kings leon use somebody 've roam around always look see paint face fill place n't reach know could use somebody know could use somebody someone like know speak countless lovers undercover street know could use somebody know could use somebody someone like ooo ooo ooo ooo ooo ooo night live sleep wag war shape poet beat hope gon make notice hope gon make notice someone like someone like someone like somebody ready ready ready ready someone like somebody someone like somebody someone like somebody 've roam around always look see,Use Somebody
7,TRIXAZF128F421EE64,tub ring invalid n't believe conceive afterlife mean perceive catastrophes calamities catastrophe everyone love tragedy gun gun gun gun point head every time close eye little folk bakery full lie n't need one turn light sleep catastrophes calamities dream dream like dream tragedy afterlife perceive reality tragedy catastrophe seem life pretend dream make theme reoccurring often wise see trend n't need one turn light argue things never say mail empty book unread progress hinder arrogance inquiries make present tense future star twice dense twice dense repetition shove throat answer give anecdote crueler sonnet never write never write seem life pretend dream make theme reoccurring often wise see trend one two three four progress hinder arrogance inquiries make present tense future star twice dense twice dense n't need one turn light argue things never say mail empty book unread n't need one turn light sleep time like answer pointless question amiss err conscious word mistake afford stay awake,Invalid
8,TRIKGRK128E0780DB0,coldplay yellow look star look shine everything yeah yellow come along write song things call yellow take turn thing 've yellow skin yeah skin bone turn something beautiful know know love know love swim across jump across thing cause yellow draw line draw line thing yellow skin yeah skin bone turn something beautiful know bleed dry bleed dry true look shine look shine look shine look shine look shine look shine look star look shine things,Yellow
9,TRAALAH128E078234A,verve bitter sweet symphony 'cause bitter sweet symphony life try make end meet 're slave money die 'll take road 've ever know one take place vein meet yeah change change change change mould mould million different people one day next n't change mould ever well 've never pray tonight knees yeah need hear sound recognize pain yeah let melody shine let cleanse mind feel free airwaves clean nobody sing change change change change mould mould million different people one day next n't change mould ever n't change know n't change 'cause bitter sweet symphony life try make end meet try find money die 'll take road 've ever know one take place vein meet yeah know change change change change mould mould million different people one day next n't change mould n't change mould n't change mould 've get change mould sex violence melody silence get n't change violence melody silence get n't change violence melody silence 'll take road 've ever get n't change violence melody silence 'll take road 've ever get n't change violence melody silence ever n't change violence melody silence ever ever ever ever ever ever ever ever,Bitter Sweet Symphony
10,TRAEHHJ12903CF492F,dwight yoakam 're one 're one 're one make cry 're one laugh say goodbye 're one 're one make blue feel 're one happen 're back call open arm happen one meet charm say 're alone well shame think real hard know 'll see blame 're one 're one make cry 're one laugh say goodbye 're one 're one make blue feel 're one happen 're beg think love share yet seem long ago n't care love leave longer live within heart see game play recklessly tear apart 're one 're one make cry 're one laugh say goodbye 're one 're one make blue feel 're one happen tell feel 're one feel one feel 're one happen 're one 're one 're one 're one one 're one yeah 're one 're one 're one,You're The One
11,TRNTALF128EF343800,killers young sit heartache wait beautiful boy save old ways play forgiveness watch now- come n't look thing like jesus talk like gentlemen like imagine young climb mountain n't know higher ever know make take slow let take easy easy watch 're burn highway skyline back hurricane start turn young young sometimes close eye see place use live young say devil water n't sweet n't drink right dip feet every little sit heartache wait beautiful boy save old ways play forgiveness watch now- come n't look thing like jesus talk like gentlemen like imagine young young say n't look thing like jesus n't look thing like jesus 'll ever know,When You Were Young
12,TRPGPDK12903CCC651,evanescence bring life see eye like open doors lead core 've become numb without soul spirit sleep somewhere cold find lead back home wake wake inside n't wake wake inside save call name save dark wake bid blood run n't wake come undo save save nothing 've become know without n't leave breathe make real bring life wake wake inside n't wake wake inside save call name save dark wake bid blood run n't wake come undo save save nothing 've become bring life 've live lie nothing inside bring life freeze inside without touch without love darling life among dead time n't believe could n't see keep dark front 've sleep thousand years seem get open eye everything without think without voice without soul n't let die must something bring life wake wake inside n't wake wake inside save call name save dark wake bid blood run n't wake come undo save save nothing 've become bring life 've live lie nothing inside bring life,Bring Me To Life
13,TRPFYYL128F92F7144,modest mouse float back car cop car day well drive sometimes life okay run mouth bite much say well laugh okay 'll float okay 'll float okay 'll float okay 'll float anyway well fake jamaican take every last dime scam worth learn sleight-of-hand bad news come n't worry even land good news work way plan get fire exactly day well 'll float good news way 'll float okay 'll float okay 'll float okay 'll float alright already 'll float n't worry 'll float alright already 'll float alright n't worry 'll float alright already 'll float alright already 'll float alright n't worry even things end bite heavy 'll float alright already 'll float alright already 'll float okay n't worry 'll float even things get heavy 'll float alright already 'll float alright n't worry 'll float alright float,Float On
14,TRUFTBY128F93450B8,lady gaga alejandro know young know may love n't like anymore alejandro get hand pocket n't look n't look hide true love bolsillo get halo around finger around know love boy hot like mexico rejoice point 've get choose nothing lose n't call name n't call name alejandro babe babe fernando n't wan kiss n't wan touch smoke cigarette hush n't call name n't call name roberto alejandro alejandro ale-alejandro ale-alejandro alejandro alejandro ale-alejandro ale-alejandro stop please let alejandro let break baby boyfriend like dad like dad flame burn get firefight get cool bad know love boy hot like mexico rejoice point 've get choose nothing lose n't call name n't call name alejandro babe babe fernando n't wan kiss n't wan touch smoke cigarette hush n't call name n't call name roberto alejandro alejandro ale-alejandro ale-alejandro alejandro alejandro ale-alejandro ale-alejandro n't bother n't bother alejandro n't call name n't call name bye fernando babe babe alejandro n't wan kiss n't wan touch fernando n't call name n't call name alejandro babe babe fernando n't wan kiss n't wan touch smoke cigarette hush n't call name n't call name roberto alejandro alejandro ale-alejandro ale-alejandro alejandro alejandro ale-alejandro ale-alejandro n't call name n't call name alejandro babe babe fernando n't wan kiss n't wan touch smoke cigarette hush n't call name n't call name roberto alejandro,Alejandro
15,TRLQTMK128E07810A3,bon jovi livin prayer tommy use work dock union strike luck tough tough gina work diner day work man bring home pay love love say 've get hold 've get 'cause n't make difference make 've get lot love 'll give shoot wooah 're half way woah-oh livin prayer take hand 'll make swear livin prayer tommy get six string hock hold use make talk tough tough gina dream run away cry night tommy whisper baby okay someday 've get hold 've get 'cause n't make difference make 've get lot love 'll give shoot wooah 're half way woah-oh livin prayer take hand 'll make swear woah-oh livin prayer livin prayer guitar 've get hold ready live fight 've get wooah 're half way woah-oh livin prayer take hand 'll make swear woah-oh livin prayer wooah 're half way woah-oh livin prayer take hand 'll make swear woah-oh livin prayer wooah 're half way,Livin' On A Prayer
16,TREMDNV12903CAC420,black eye peas get feel get feel tonight gon good night tonight gon good night tonight gon good good night feel tonight gon good night tonight gon good night tonight gon good good night feel tonight gon good night tonight gon good night tonight gon good good night feel tonight gon good night tonight gon good night tonight gon good good night tonight night let live get money let spend smash like god jump sofa let get get know 'll ball get loose feel stress wan let let way space loose control fill cup mozoltov look dance take let paint town 'll shut let burn roof 'll let let let let let live let let let cause get feel tonight gon good night tonight gon good night tonight gon good good night feel tonight gon good night tonight gon good night tonight gon good good night tonight night hey let live let live get money pay let spend let spend smash smash like god like god jump sofa c'mon let get get fill cup drink mozoltov chaim look dance move move take let paint town paint town 'll shut shut let burn roof 'll let let let let let live let let let come get rock rock rock rock rock easy come easy top top top top top feel shoot body rock rock n't stop stop stop stop stop round round around clock clock clock clock clock monday tuesday wednesday thursday friday saturday saturday sunday get get get get get know say party every day pa-pa-p-party every day feel tonight gon good night tonight gon good night tonight gon good good night feel tonight gon good night tonight gon good night tonight gon good good night,I Gotta Feeling
17,TREBDEB12903CC0C56,california swag district teach dougie like smooth teach dougie know cause bitch love aye need beat super bumpin back dump put arm front lean side side gona see hit dat dougie right aint nobody fuckin wit bro morningside bubba hit dat dance wit thunder aint dallas d-town boogie show move everybody tryna leave function ladies tryna screw ima day niggas love hate try screw bitch stick think tryna glue make party shine bright start boomin dis beat bubblegum chew chorus teach dougie t-teach dougie teach dougie t-teach dougie bitch love bitch love bitch love aint fuckin wit dougie verse name young dudes n't know know west teach dougie step club bitch bug niggas dancin none know hear crowd screamin like aye get brody take real low dey like dat dougie floor dat nigga stop like dougie somemore like nigga kinda tire pass bro m-bone show cat dat south dance dat learn lil fast buy hood get whole crew askin ... chorus verse back party ion really like boogie tryna get bend meet thick redbone mmm dougie niggas hatin bout exscape bitch head home fuck get friends man-a wana run even legs long like hubby think love change subject dougie dont give fuck blow tree get money leave heifers feinin like sum playboy bunnies dey gon make dougie middle bed ask head bitch look funny daahhhhhh bitch n't tell nothin starr bake beat take oven hit dougie everybody clubbin hate skinny jeans cuz burner keep rubbin,Teach Me How To Dougie
18,TRENTGL128E0780C8E,coldplay clock light n't save tide try swim 've put upon knees beg beg plead sing come things unsay shoot apple head trouble n't name tiger wait tame sing confusion never stop close wall tick clock gon come back take home could stop know sing come upon seas curse miss opportunities part cure part disease sing nothing else compare nothing else compare nothing else compare home home want home home want home home want home home want,Clocks
19,TRJPXVB128F9316916,taylor swift belong 're phone girlfriend—she upset something say 'cause n't get humor like room typical tuesday night listen kind music n't like 'll never know story like wear short skirt wear t-shirt cheer captain bleachers dream day wake find 're look whole time could see one understand along n't see belong belong walk streets wear jeans n't help think ought laugh park bench think hey n't easy 've get smile light whole town n't see awhile since bring say 're fine—i know better hey girl like wear high heel wear sneakers cheer captain bleachers dream day wake find 're look whole time could see one understand along n't see belong stand wait backdoor time could know baby belong belong remember drive house middle night one make laugh know 're 'bout cry know favorite songs tell dream think know belong think know n't one understand along n't see belong stand wait backdoor time could know baby belong belong belong ever think maybe belong belong,You Belong With Me
20,TRSUSWW128F93463BF,black eye peas imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma imma next level imma rockin bass treble imma chillin mutha mutha crew imma makin deal wan hah imma a-list flick doin one-handed flip imma sippin'on trick 'cause imma shakin hips gon lickin lips imma takin pics lookin fly shit imma flyest chick fly imma spreadin wing imma doin thing okay imma imma swing this-a way imma imma imma imma swing that-a way fergie-ferg imma imma stay 21st-century 'til infinity imma imma imma imma imma imma imma imma imma imma rich baby quick quick imma imma imma shit baby check imma imma top never stop imma imma imma imma imma imma f'ckin imma imma imma imma imma imma imma upgrade new negro imma average brother soul imma world-wide international imma rio rockin tokyo imma brilliant millions loan billion get back trillion imma brother name n't lehman imma bank loanin semen honey debt may bouncin check n't really mind bouncin che imma imma i'm-imma i'm-imma rich baby imma i'm-imma sick flow goal rock whole globe imma future imma whole ... reason even wan come show see rockin kickin golden imma club doin whatever like imma poppin bubbly coolin livin good life let make last forever partyin 'll chill together imma rockin like y'all niggas want talk shit don'tchu put blog nigger rockin like job nigger n't help popular folks want flock come show rock million plus binoculars imma imma imma imma imma livin good life imma livin good good imma imma imma imma imma livin good life imma livin good good imma imma imma imma imma livin good life imma livin good good imma imma imma imma imma livin good life imma livin good good imma ... swag ... crazy imma ... loca imma imma imma imma ... loca imma imma imma rockin apl.de infinite b.e.p definite-ly next-level shit futuristic musically powerful energy soul sonically send positivity across globe seven seas take care families rockin show 'spectin cheese imma peas livin life feelin free suppose come join festivities celebrate like imma imma imma imma imma imma imma imma imma imma imma imma imma,Imma Be
21,TRSDRPY128F933E202,taylor swift love story young first saw close eye flashback start stand balcony summer air see light see party ball gown see make way crowd say hello little know ... romeo throw pebbles daddy say stay away juliet cry staircase beg please n't say ... romeo take somewhere alone 'll wait leave run 'll prince 'll princess love story baby say yes sneak garden see keep quiet 'cause 're dead know close eye escape town little 'cause romeo scarlet letter daddy say stay away juliet everything beg please n't say ... romeo take somewhere alone 'll wait leave run 'll prince 'll princess love story baby say yes romeo save 're try tell feel love difficult real n't afraid 'll make mess love story baby say yes ... get tire wait wonder ever come around faith fade meet outskirts town say ... romeo save 've feel alone keep wait never come head n't know think kneel grind pull ring say marry juliet 'll never alone love really know talk dad pick white dress love story baby say yes 'cause young first saw,Love Story
22,TROMKCG128F9320C09,muse uprise paranoia bloom transmissions resume 'll try push drug keep dumbed hope never see truth around come another promise another seed another package lie keep trap greed green belt wrap around mind endless red tape keep truth confine come force stop degrade control victorious come interchange mind control come let revolution take toll could flick switch open third eye see never afraid die come rise take power back time fat cat heart attack know time come end unify watch flag ascend come force stop degrade control victorious come force stop degrade control victorious come,Uprising
23,TROAQBZ128F9326213,onerepublic secrets need another story something get chest life get kinda bore need something confess till sleeves stain red truth 've say come honestly swear think saw wink 've brink tell want hear something light ears sick insincere gon give secrets away time n't need another perfect lie n't care critics ever jump line gon give secrets away god amaze get far like chase star drive shiny big black cars everyday see news problems could solve situation rise write album send straight gold n't really like flow tell want hear something like years sick insincere gon give secrets away time n't need another perfect lie n't care critics ever jump line gon give secrets away get reason get shame get family blame n't let disappear i'mma tell everything tell want hear something 'll light ears sick insincere gon give secrets away time n't need another perfect lie n't care critics ever jump line gon give secrets away tell want hear something delight years sick insincere gon give secrets away time n't need another perfect lie n't care critics ever jump line gon give secrets away secrets away,Secrets
24,TRONBHE128F92D6309,katy perry kiss girl never way plan intention get brave drink hand lose discretion use wan try curious catch attention kiss girl like taste cherry chap stick kiss girl try hope boyfriend n't mind felt wrong felt right n't mean love tonight kiss girl like like n't even know name n't matter 're experimental game human nature good girls behave head get confuse hard obey kiss girl like taste cherry chap stick kiss girl try hope boyfriend n't mind felt wrong felt right n't mean love tonight kiss girl like like girls magical soft skin red lips kissable hard resist touchable good deny n't big deal innocent kiss girl like taste cherry chap stick kiss girl try hope boyfriend n't mind felt wrong felt right n't mean love tonight kiss girl like like,I Kissed A Girl
25,TRONYHY128F92C9D11,kings leon revelry night dance know dance machine fire bone sweet taste kerosene get lose light high n't want come face loss good thing find woo hoo hoo woo hoo hoo dark night hear call name harvest hearts still feel full pain drink smoke ask 're ever around even though drive right grind see time share precious dream revelry bear run baby run like stream mountainside wind back n't ever even bat eye know along hold heart demon best friends start time share precious dream revelry dream revelry tell boy away rain hard felt like snow everything come tumble back woods dark night paleness old moonlight everything felt incomplete dream revelry dream revelry dream revelry dream revelry,Revelry
26,TRXWAZC128F9314B3E,john mayer heartbreak warfare lightning strike inside chest keep night dream ways make understand pain cloud sulfur air bomb fall everywhere heartbreak warfare want begin one really ever win heartbreak warfare want love n't say want love n't say drop name push twist knife watch face pretend feel pain cloud sulfur air bomb fall everywhere heartbreak warfare want begin one really ever win heartbreak warfare want love n't say want love n't say say ... come way know high get see far fall god know much love let n't break heartbreak ... n't care n't sleep tonight let fix whole thing swear god 're gon get right lay weapon red wine ambien 're talk heartbreak warfare good know game disappointment name heartbreak heartbreak heartbreak warfare heartbreak warfare heartbreak warfare,Heartbreak Warfare
27,TRKRRUV128F92F20F1,train marry forever never long enough feel like 've long enough forget world n't let see one thing leave weight lift love surely shift way marry today every day marry ever get nerve say hello cafe say mm-hmm say mm-hmm together never close enough feel like close enough wear white 'll wear word love 're beautiful wait love finally show way marry today every day marry ever get nerve say hello cafe say mm-hmm say mm-hmm promise 'll always happy side promise sing music die marry today everyday marry ever get nerve say hello cafe say mm-hmm say mm-hmm marry mm-hmm,Marry Me
28,TRKBJPL12903CED195,onerepublic right move right friends right place yeah 're goin get right move right face yeah 're goin let paint picture perfect place get better anyone tell 'll king hearts 're queen spade 'll fight like soldier know get good get make grass get greener day know things look soon 'll take anybody knowin name get right friends right place yeah 're goin get right move right face yeah 're goin say everybody know everybody know 're goin yeah 're goin say everybody know everybody know 're goin yeah 're goin think special think nice bright enough shine space noise hear sound like sink ocean face n't possible rain could fall head sun shin everyday far away world instead get get right friends right place yeah 're goin get right move right face yeah 're goin say everybody know everybody know 're goin yeah 're goin say everybody know everybody know 're goin yeah 're goin n't matter see know could never someone 'll look like n't matter say know could never face someone could sound like right friends right place yeah 're goin get right move right face yeah 're goin right friends right place yeah 're goin get right move right face yeah 're goin say everybody know everybody know 're goin yeah 're goin say everybody know everybody know 're goin yeah 're goin yeah 're yeah 're right move hey yeah 're say right move hey yeah 're,All The Right Moves
29,TRYNJBB128F931A7EE,eminem mockingbird yeah know sometimes things may always make sense right hey daddy always tell straighten little soldier stiffen upper lip cry get hailie know miss mom know miss dad try give life never see 're sad even smile even laugh see eye deep inside wan cry 'cause 're scar n't daddy prayers cry wipe tear daddy nightmares gon pull together gon laney uncle crazy n't yeah love girl better know 're get world spin swirl whirl twirl two little beautiful girls look puzzle daze know confuse daddy always move mama always news try keep shelter somehow seem harder try backfire things grow daddy see daddy n't want see see much plan way mother things get bad n't see ever together ever like use teenagers course everything always happen reason guess never mean something control destiny worry rest head sleep maybe one day 'll wake dream hush little baby n't cry everythings gon alright stiffen upper lip little lady tell daddy hold night know mommy right n't know feel feel inside may seem little crazy pretty baby promise mama gon alright funny remember back one year daddy money mommy wrap christamas present stick tree say 'cause daddy could n't buy 'em 'll never forget christmas sit whole night cryin 'cause daddy felt like bum see daddy job job keep food table mom time every house live either keep get break rob shoot block mom save money jar try start piggy bank college almost thousand dollars 'till someone break steal know hurt bad break mama heart seem like everything start fall apart mom dad argue lot mama move back chalmers flat one bedroom apartment dad move back side mile novarra daddy california meet dr. dre fly mama see daddy work mama leave start see daddy mama n't like laney young understand papa roll stone mama develop habit happen fast either one grab sorry witness first hand 'cause ever want make proud sittin empty house reminiscin look baby picture trip see much grow almost like sisters wow guess pretty much daddy still laney talk daddy still like sound yeah get ring n't shhh mama moment hush little baby n't cry everythings gon alright stiffen upper lip little lady tell daddy hold night know mommy right n't know feel feel inside may seem little crazy pretty baby promise mama gon alright ask daddy gon buy mockingbird i'mma give world i'mma buy diamond ring i'mma sing 'll anything see smile mockingbird n't sing ring n't shine i'mma break birdy neck 'll back jewler sell make eat every karat n't fuck dad haha,Mockingbird
30,TRYVBMA128E0789D39,coldplay fix try best n't succeed get want need feel tire n't sleep stick reverse tear come stream face lose something n't replace love someone waste could worse light guide home ignite bone try fix high 're love let never try 'll never know 're worth light guide home ignite bone try fix tear stream face lose something replace tear stream face tear stream face promise learn mistake tear stream face light guide home ignite bone try fix,Fix You
